question,option1,option2,option3,option4,answerIndex,explanation
"サクラ以外に春に花を咲かせる樹木を5つ答えなさい。","ウメ・モモ・シクラメン・ゴボウ・コスモス","タンポポ・オオイヌノフグリ・ハルジオン・シロツメクサ・アヤメ","ウメ・モモ・モクレン・レンギョウ・ユキヤナギ","梅干し・桃干し・梨・唐辛子・カキ",2,"代表的にはウメ、モモ、モクレン、レンギョウ、ユキヤナギなどです。"
"春に種子をまく野菜を5つ答えなさい。","トウモロコシ・トマト・ナス・キュウリ・ダイズ","タマネギ・ニンジン・ジャガイモ・ゴボウ・イネ","ホウレンソウ・サツマイモ・サトイモ・カブ・ハクサイ","バラ・ヒマワリ・パンジー・アジサイ・ラン",0,"春に種をまく代表的な野菜として、トウモロコシ、トマト、ナス、キュウリ、ダイズなどがあります。"
"サツマイモやジャガイモ、サトイモのように、イモをそのまま植えることを何と言いますか？","イモ植え","タネイモ","芽かき","球根栽培",1,"イモそのものを種のように植える方法を“種イモ”と呼びます。"
"春に羽化する昆虫を2つ答えなさい。","モンシロチョウ・アゲハ","アリ・セミ","バッタ・コオロギ","カブトムシ・クワガタムシ",0,"冬の間は蛹で過ごし、春に羽化する代表例がモンシロチョウやアゲハです。"
"成虫のまま冬を越した昆虫を4つ答えなさい。","カブトムシ・セミ・トノサマバッタ・ゲンゴロウ","ミツバチ・テントウムシ・アブ・ヤゴ","テントウムシ・ミノムシ・アゲハ・カマキリ","ミノムシ・アリ・ハエ・バッタ","※問題文中に該当がなかったため推測を含む",1,"問題文によれば“ミバ、7星、ハナ…”等の記述がありますが詳細不明のため例として、成虫越冬するのはテントウムシやミツバチなどが挙げられます。"
"春にふ化した幼虫を3つ答えなさい。","カマキリ・イナゴ・バッタ","チョウ・アブ・ハチ","クモ・ムカデ・ゲンゴロウ","カブトムシ・コガネムシ・シオカラトンボ",0,"カマキリやイナゴ、バッタなどは卵で冬を越し、春に孵化します。"
"幼虫で冬越ししたものを3つ答えなさい。","モンシロチョウ・アゲハ・セミ","カブトムシ・ギンヤンマ・セミ","ハエ・ハチ・クモ","ダンゴムシ・ヤスデ・ゲンゴロウ",1,"カブトムシやギンヤンマ、アゲハ類などは幼虫（または蛹）で越冬する場合があります。"
"モンシロチョウやアゲハが春に産みつけた卵はいつ成虫になりますか？","翌年の春","同じ年の夏","春のうち","孵化しない",1,"一般的に春に卵を産み、夏には成虫（チョウ）になります。"
"モンシロチョウの初見日はどのように伝わっていきますか？","北海道から南へ","一斉に全国","南から北へ","東から西へ",2,"多くのチョウの初見は気温が高い南から北へ向かうかたちで報告されます。"
"メダカが産卵を始めるために必要な水温は何度以上ですか？","10℃以上","15℃以上","20℃以上","25℃以上",2,"メダカは水温が20℃以上になると産卵が活発になります。"
"メダカが産卵を始めるために必要な昼の長さは何時間以上ですか？","10時間以上","11時間以上","12時間以上","13時間以上",3,"メダカは13時間以上の明るい時間があると産卵を始めやすいとされています。"
"メダカの稚魚が成魚になるまでどれくらいかかりますか？","2～3日","1週間","2～3か月","1年",2,"一般には2～3か月で繁殖可能な成魚となります。"
"サケの稚魚はどこでふ化しますか？","川の上流","海の沿岸","池の底","湖の中",0,"サケは川の上流で産卵・ふ化し、その後海へ下ります。"
"サケの稚魚はふ化した後どうなりますか？","川の下流で一生暮らす","深い湖へ行く","ふ化した川を遡上し続ける","ふ化した川から海へ下る",3,"サケはふ化した後、海へ下り、成長してから産卵のために再び川に戻ります。"
"カエルは冬の間どのように過ごしますか？","水中で泳ぎ回る","暖かい場所を探して歩き続ける","冬眠している","ずっと産卵している",2,"カエルは寒い間、土や落ち葉の下などで冬眠します。"
"カエルが産卵する時期はいつ頃ですか？","1月上旬","3月下旬頃","5月中旬","8月下旬頃",1,"春先の3月下旬頃から産卵行動を始める種類が多いです。"
"カエルは産卵後どうなりますか？","そのまま子育てする","5月頃まで再び冬眠する","海へ移動する","卵を食べる",1,"産卵後、再び休眠状態に入る種（ニホンアマガエルなど）もいます。"
"夏を日本で過ごし、冬を日本で過ごさない渡り鳥を何と言いますか？","留鳥","冬鳥","夏鳥","旅鳥",2,"夏鳥は春に南から渡ってきて、日本で繁殖し、秋に南へ帰ります。"
"冬を日本で過ごし、夏を日本で過ごさない渡り鳥を何と言いますか？","留鳥","冬鳥","夏鳥","旅鳥",1,"冬に日本へ飛来し、春先になると北方へ帰るのが冬鳥です。"
"春に南の国から日本に渡ってきて産卵する鳥を2つ答えなさい。","ツバメ・カッコウ","スズメ・カラス","シジュウカラ・メジロ","トビ・ハト",0,"代表的な夏鳥として、ツバメやカッコウが春に渡来し、日本で繁殖します。"
"冬鳥として海を越えて南の国へ渡る鳥を3つ答えなさい。","ツバメ・スズメ・ハト","スズメ・キジ・カラス","シラサギ・カモメ・ダチョウ","ハクチョウ・ガン・マガモ",3,"白鳥・ガン・マガモなどは冬になると日本に飛来し、春になると北へ戻ります。"
"1年を通してほぼ同じ地域で過ごす鳥を何と言いますか？","留鳥","冬鳥","夏鳥","渡り鳥",0,"スズメなど、一年中ほぼ同じ地域で繁殖・越冬する鳥を留鳥といいます。"
"日本国内を移動する鳥を何と言いますか？","冬鳥","夏鳥","旅鳥（漂鳥）","留鳥",2,"日本国内で移動するものは旅鳥（漂鳥）などと呼ばれる場合があります。"
"キツネやツキノワグマが出産を行う時期はいつ頃ですか？","秋","夏","冬眠の最中","初春（1～2月頃）",3,"キツネやツキノワグマは冬眠から目覚める前後の初春に出産することが多いです。"
