question,option1,option2,option3,option4,answerIndex,explanation
"鏡に近づくと鏡に映った自分の像はどう動きますか？","像も同じだけ近づく","像は遠ざかる","像は動かない","像が消える",0,"自分が鏡に1 cm近づけば像も対称に1 cm近づきます。"
"光が水やガラスなどに入る時に曲がることを何と言いますか？","光の反射","光の回折","光の屈折","光の散乱",2,"媒質が変わる境目で光が折れ曲がる現象を屈折といいます。"
"光がガラスや水に垂直に入るとどう進みますか？","大きく曲がる","乱反射する","まっすぐ進む","消える",2,"法線に対して垂直なら屈折は起こらず直進します。"
"光が空気中から水中へ進むとき、光線はどの方向に曲がりますか？","水面から遠ざかる方向（法線側）","水面に近づく方向（法線から離れる）","曲がらない","反射に変わる",0,"屈折率が大きい水へ入ると光は法線側へ曲がります。"
"光が水中から空気中へ出るとき、光線はどの方向に曲がりますか？","水面から遠ざかる方向","水面に近づく方向（法線から離れる）","曲がらない","必ず反射する",1,"屈折率が小さい空気に出ると法線から離れる向き（水面に沿う方向）に曲がります。"
"水中から出た光は元の光と比べてどのように違う方向へ進みますか？","下に曲がる","上に向かって進む","左右に分かれる","必ず反射する",1,"水→空気では法線から離れるため、見かけ上“上向き”に進むようになります。"
"ガラス板に入る光と出る光はどのような関係になりますか？","互いに直角","平行","必ず交わる","ねじれている",1,"平行平板では入射・出射光は平行（わずかにずれるが向きは同じ）になります。"
"プールの底が実際より浅く見えるのはなぜですか？","光が屈折しているから","水が蒸発するから","光が回折するから","水が濁るから",0,"水→空気への屈折で光が上向きに曲がり、底が持ち上がって見える錯覚です。"
"虫メガネは光のどんな性質を利用した道具ですか？","光の反射","光の屈折","光の干渉","光の散乱",1,"凸レンズで光を屈折させ、像を拡大したり集光したりします。"
"虫メガネで集まった光が一点に集まる点を何と言いますか？","焦点","重心","中心点","回折点",0,"凸レンズで平行光が集まる点を焦点（焦点距離の位置）と呼びます。"
"焦点に黒い紙を置くと紙はどうなりますか？","凍る","焦げる","光りだす","透明になる",1,"光が集まって温度が上がり、黒い紙は焦げます。"
"虫メガネのレンズが厚い（曲率が大きい）ほど、焦点距離はどうなりますか？","長くなる","変わらない","短くなる","無限大になる",2,"レンズの曲率が大きいと屈折が強くなり、焦点はレンズに近づきます。"
"虫メガネの直径（口径）が大きいと、集められる光の量はどうなりますか？","少なくなる","変わらない","多く集められる","光を集められなくなる",2,"大きなレンズは開口部が広く、多くの光を集光できます。"
